k,silhouette_score,inertia,adjusted_rand_index
2,0.08312152349632228,18348.89128230955,-0.0006279152174277471
3,0.07499522279820783,17326.174859172705,0.0480846699210731
4,0.08383402729577313,16330.154093786434,0.0356250121389367
5,0.08957120376291447,15638.251019211933,0.03568795814428062
